id,session_id,group_id,stage,action,trigger_source,message,hint,scaffolds,metrics_snapshot_json,form_snapshot_json,created_at
d00010000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,0,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 0, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:02:06+00:00
d00010001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,1,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 1, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:02:12+00:00
d00010002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,2,scaffold,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 1, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:03:16+00:00
d00020000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,0,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 0, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:04:06+00:00
d00020001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,1,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 1, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:04:12+00:00
d00020002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,2,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 2, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:04:52+00:00
d00020003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,3,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 2, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:05:16+00:00
d00020004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,4,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 3, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:05:32+00:00
d00020005-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,0,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 4, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:06:12+00:00
d00020006-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,1,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 4, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:06:26+00:00
d00020007-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,2,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 5, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:06:52+00:00
d00020008-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,3,scaffold,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 5, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:07:36+00:00
d00020009-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,4,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 5, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:08:46+00:00
d00020010-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,0,scaffold,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 5, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:09:56+00:00
d00030000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 0, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:06:06+00:00
d00030001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 1, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:06:12+00:00
d00030002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 2, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:06:52+00:00
d00030003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 2, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:07:16+00:00
