id,session_id,group_id,stage,question,answer,on_topic,source,created_at
q00000100-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,0,synthetic placeholder,synthetic placeholder,True,llm,2024-01-15T09:02:44+00:00
q00000200-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,0,synthetic placeholder,synthetic placeholder,True,llm,2024-01-15T09:04:44+00:00
q00000201-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,1,synthetic placeholder,synthetic placeholder,True,llm,2024-01-15T09:06:44+00:00
q00000300-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,synthetic placeholder,synthetic placeholder,True,llm,2024-01-15T09:06:44+00:00
q00000301-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,synthetic placeholder,synthetic placeholder,True,llm,2024-01-15T09:08:44+00:00
q00000400-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,0,synthetic placeholder,synthetic placeholder,True,llm,2024-01-15T09:08:44+00:00
q00000500-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,0,synthetic placeholder,synthetic placeholder,True,llm,2024-01-15T09:10:44+00:00
q00000501-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,1,synthetic placeholder,synthetic placeholder,True,llm,2024-01-15T09:12:44+00:00
q00000600-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000006-0000-4000-8000-000000000000,0,synthetic placeholder,synthetic placeholder,True,llm,2024-01-15T09:12:44+00:00
q00000700-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,0,synthetic placeholder,synthetic placeholder,True,llm,2024-01-15T09:14:44+00:00
q00000701-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,1,synthetic placeholder,synthetic placeholder,True,llm,2024-01-15T09:16:44+00:00
q00000702-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000007-0000-4000-8000-000000000000,2,synthetic placeholder,synthetic placeholder,True,llm,2024-01-15T09:18:44+00:00
