id,session_id,group_id,stage,event_type,target,payload_json,client_ts,created_at
o00010000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,0,agent.help_click,help-button,"{""help_count"": 1}",2024-01-15T09:02:11+00:00,2024-01-15T09:02:11+00:00
o00014000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,0,agent.idle_trigger,stage-0,"{""stage"": 0}",2024-01-15T09:02:05+00:00,2024-01-15T09:02:05+00:00
o00014001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,1,agent.idle_trigger,stage-1,"{""stage"": 1}",2024-01-15T09:03:15+00:00,2024-01-15T09:03:15+00:00
o00016000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,0,stage.submission_save,stage-0,"{""stage_key"": ""warmup"", ""is_completed"": true, ""completion_rate"": 0.902}",2024-01-15T09:02:02+00:00,2024-01-15T09:02:02+00:00
o00016001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,1,stage.submission_save,stage-1,"{""stage_key"": ""observe"", ""is_completed"": true, ""completion_rate"": 0.8522}",2024-01-15T09:05:02+00:00,2024-01-15T09:05:02+00:00
o00016002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,2,stage.submission_save,stage-2,"{""stage_key"": ""predict"", ""is_completed"": true, ""completion_rate"": 0.6568}",2024-01-15T09:08:02+00:00,2024-01-15T09:08:02+00:00
o00016003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,3,stage.submission_save,stage-3,"{""stage_key"": ""test"", ""is_completed"": true, ""completion_rate"": 0.6308}",2024-01-15T09:11:02+00:00,2024-01-15T09:11:02+00:00
o00016004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,4,stage.submission_save,stage-4,"{""stage_key"": ""review"", ""is_completed"": true, ""completion_rate"": 0.706}",2024-01-15T09:14:02+00:00,2024-01-15T09:14:02+00:00
o00020000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,0,agent.help_click,help-button,"{""help_count"": 1}",2024-01-15T09:04:11+00:00,2024-01-15T09:04:11+00:00
o00020001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,1,agent.help_click,help-button,"{""help_count"": 2}",2024-01-15T09:04:51+00:00,2024-01-15T09:04:51+00:00
o00020002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,2,agent.help_click,help-button,"{""help_count"": 3}",2024-01-15T09:05:31+00:00,2024-01-15T09:05:31+00:00
o00020003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,3,agent.help_click,help-button,"{""help_count"": 4}",2024-01-15T09:06:11+00:00,2024-01-15T09:06:11+00:00
o00020004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,4,agent.help_click,help-button,"{""help_count"": 5}",2024-01-15T09:06:51+00:00,2024-01-15T09:06:51+00:00
o00022000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,0,quiz.wrong_answer,stage-0,"{""item"": 0, ""is_correct"": false}",2024-01-15T09:04:27+00:00,2024-01-15T09:04:27+00:00
o00022001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,1,quiz.wrong_answer,stage-1,"{""item"": 1, ""is_correct"": false}",2024-01-15T09:06:02+00:00,2024-01-15T09:06:02+00:00
o00024000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,0,agent.idle_trigger,stage-0,"{""stage"": 0}",2024-01-15T09:04:05+00:00,2024-01-15T09:04:05+00:00
o00024001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,1,agent.idle_trigger,stage-1,"{""stage"": 1}",2024-01-15T09:05:15+00:00,2024-01-15T09:05:15+00:00
o00024002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,2,agent.idle_trigger,stage-2,"{""stage"": 2}",2024-01-15T09:06:25+00:00,2024-01-15T09:06:25+00:00
o00024003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,3,agent.idle_trigger,stage-3,"{""stage"": 3}",2024-01-15T09:07:35+00:00,2024-01-15T09:07:35+00:00
o00024004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,4,agent.idle_trigger,stage-4,"{""stage"": 4}",2024-01-15T09:08:45+00:00,2024-01-15T09:08:45+00:00
o00024005-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,0,agent.idle_trigger,stage-0,"{""stage"": 0}",2024-01-15T09:09:55+00:00,2024-01-15T09:09:55+00:00
o00026000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,0,stage.submission_save,stage-0,"{""stage_key"": ""warmup"", ""is_completed"": true, ""completion_rate"": 0.6576}",2024-01-15T09:04:02+00:00,2024-01-15T09:04:02+00:00
o00026001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,1,stage.submission_save,stage-1,"{""stage_key"": ""observe"", ""is_completed"": true, ""completion_rate"": 0.7946}",2024-01-15T09:07:02+00:00,2024-01-15T09:07:02+00:00
o00026002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,2,stage.submission_save,stage-2,"{""stage_key"": ""predict"", ""is_completed"": true, ""completion_rate"": 0.963}",2024-01-15T09:10:02+00:00,2024-01-15T09:10:02+00:00
o00026003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,3,stage.submission_save,stage-3,"{""stage_key"": ""test"", ""is_completed"": true, ""completion_rate"": 0.7499}",2024-01-15T09:13:02+00:00,2024-01-15T09:13:02+00:00
o00026004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,4,stage.submission_save,stage-4,"{""stage_key"": ""review"", ""is_completed"": true, ""completion_rate"": 0.8921}",2024-01-15T09:16:02+00:00,2024-01-15T09:16:02+00:00
o00030000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,agent.help_click,help-button,"{""help_count"": 1}",2024-01-15T09:06:11+00:00,2024-01-15T09:06:11+00:00
o00030001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,agent.help_click,help-button,"{""help_count"": 2}",2024-01-15T09:06:51+00:00,2024-01-15T09:06:51+00:00
o00030002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,agent.help_click,help-button,"{""help_count"": 3}",2024-01-15T09:07:31+00:00,2024-01-15T09:07:31+00:00
o00030003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,agent.help_click,help-button,"{""help_count"": 4}",2024-01-15T09:08:11+00:00,2024-01-15T09:08:11+00:00
