id,session_id,group_id,group_name,event_type,payload_json,created_at
a00900001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,,,session.created,"{""group_count"": 8}",2024-01-15T09:00:00+00:00
a00010000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,Team 1,agent.help_click,"{""help_count"": 1}",2024-01-15T09:02:11.090000+00:00
a00014000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,Team 1,agent.idle_trigger,"{""stage"": 0}",2024-01-15T09:02:05.090000+00:00
a00014001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,Team 1,agent.idle_trigger,"{""stage"": 1}",2024-01-15T09:03:15.090000+00:00
a00016000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,Team 1,stage.submission_save,"{""stage_key"": ""warmup"", ""is_completed"": true, ""completion_rate"": 0.902}",2024-01-15T09:02:02.090000+00:00
a00016001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,Team 1,stage.submission_save,"{""stage_key"": ""observe"", ""is_completed"": true, ""completion_rate"": 0.8522}",2024-01-15T09:05:02.090000+00:00
a00016002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,Team 1,stage.submission_save,"{""stage_key"": ""predict"", ""is_completed"": true, ""completion_rate"": 0.6568}",2024-01-15T09:08:02.090000+00:00
a00016003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,Team 1,stage.submission_save,"{""stage_key"": ""test"", ""is_completed"": true, ""completion_rate"": 0.6308}",2024-01-15T09:11:02.090000+00:00
a00016004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,Team 1,stage.submission_save,"{""stage_key"": ""review"", ""is_completed"": true, ""completion_rate"": 0.706}",2024-01-15T09:14:02.090000+00:00
a00018000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,,agent.decision,"{""stage"": 0, ""action"": ""scaffold""}",2024-01-15T09:02:06+00:00
a00018001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,,agent.decision,"{""stage"": 1, ""action"": ""scaffold""}",2024-01-15T09:02:12+00:00
a00018002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,,agent.decision,"{""stage"": 2, ""action"": ""scaffold""}",2024-01-15T09:03:16+00:00
a00019000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000001-0000-4000-8000-000000000000,,agent.student_question,"{""stage"": 0}",2024-01-15T09:02:44+00:00
a00020000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,Team 2,agent.help_click,"{""help_count"": 1}",2024-01-15T09:04:11.090000+00:00
a00020001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,Team 2,agent.help_click,"{""help_count"": 2}",2024-01-15T09:04:51.090000+00:00
a00020002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,Team 2,agent.help_click,"{""help_count"": 3}",2024-01-15T09:05:31.090000+00:00
a00020003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,Team 2,agent.help_click,"{""help_count"": 4}",2024-01-15T09:06:11.090000+00:00
a00020004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,Team 2,agent.help_click,"{""help_count"": 5}",2024-01-15T09:06:51.090000+00:00
a00022000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,Team 2,quiz.wrong_answer,"{""item"": 0, ""is_correct"": false}",2024-01-15T09:04:27.090000+00:00
a00022001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,Team 2,quiz.wrong_answer,"{""item"": 1, ""is_correct"": false}",2024-01-15T09:06:02.090000+00:00
a00024000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000002-0000-4000-8000-000000000000,Team 2,agent.idle_trigger,"{""stage"": 0}",2024-01-15T09:04:05.090000+00:00
